The Dark Knight: Batman vs. the Cat Commander (Dc Super Heroes),9781434242143,"Bright, J.E.",Good,Capstone Press,2013,Paperback,5-star,US$ 3.50,https://www.abebooks.com/servlet/BookDetailsPL?bi=30795664482&searchurl=ds%3D20%26kn%3D9781434242143%26pt%3Dbook%26sortby%3D17&cm_sp=snippet-_-srp1-_-title16
Batman vs. the Cat Commander,9781434242143,"Bright, J. E.; Vecchio, Luciano (ILT)",As,Capstone Press,2013,Paperback,5-star,US$ 6.24,https://www.abebooks.com/servlet/BookDetailsPL?bi=31501140561&searchurl=ds%3D20%26kn%3D9781434242143%26pt%3Dbook%26sortby%3D17&cm_sp=snippet-_-srp1-_-title17
Batman vs. the Cat Commander,9781434242143,"Bright, J. E.; Vecchio, Luciano (ILT)",New,Capstone Press,2013,Paperback,5-star,US$ 6.24,https://www.abebooks.com/servlet/BookDetailsPL?bi=31501456125&searchurl=ds%3D20%26kn%3D9781434242143%26pt%3Dbook%26sortby%3D17&cm_sp=snippet-_-srp1-_-title18
Cat Commander (DC Super Heroes: The Dark Knight),9781434242143,"E. Bright, J.",Fine,Capstone Press,2013,Paperback,5-star,US$ 3.01,https://www.abebooks.com/servlet/BookDetailsPL?bi=31840077853&searchurl=ds%3D20%26kn%3D9781434242143%26pt%3Dbook%26sortby%3D17&cm_sp=snippet-_-srp1-_-title19
The Dark Knight: Batman vs. the Cat Commander (Dc Super Heroes),9781434242143,"Bright, J.E.",Very,Capstone Press,2013,Paperback,4-star,US$ 4.18,https://www.abebooks.com/servlet/BookDetailsPL?bi=31301046312&searchurl=ds%3D20%26kn%3D9781434242143%26pt%3Dbook%26sortby%3D17&cm_sp=snippet-_-srp1-_-title20
The Dark Knight: Batman vs. the Cat Commander (Dc Super Heroes),9781434242143,"Bright, J.E.",Good,Capstone Press,2013,Paperback,4-star,US$ 15.97,https://www.abebooks.com/servlet/BookDetailsPL?bi=31719950472&searchurl=pt%3Dbook%26ds%3D20%26sortby%3D17%26kn%3D9781434242143&cm_sp=snippet-_-srp2-_-title1
The Dark Knight: Batman vs. the Cat Commander (Dc Super Heroes),9781434242143,J.E. Bright,Good,Capstone Press January 2013,2013,Paperback,5-star,US$ 8.60,https://www.abebooks.com/servlet/BookDetailsPL?bi=31306951066&searchurl=pt%3Dbook%26ds%3D20%26sortby%3D17%26kn%3D9781434242143&cm_sp=snippet-_-srp2-_-title2
Cat Commander (DC Super Heroes: The Dark Knight),9781434242143,"Bright, J.E.",Used;,Stone Arch Books,2012,Paperback,4-star,US$ 5.98,https://www.abebooks.com/servlet/BookDetailsPL?bi=30587079927&searchurl=pt%3Dbook%26ds%3D20%26sortby%3D17%26kn%3D9781434242143&cm_sp=snippet-_-srp2-_-title3
The Dark Knight: Batman vs. the Cat Commander,9781434242143,"Bright, J.E.",New,Stone Arch Books,2012,Paperback,5-star,US$ 10.51,https://www.abebooks.com/servlet/BookDetailsPL?bi=31819719238&searchurl=pt%3Dbook%26ds%3D20%26sortby%3D17%26kn%3D9781434242143&cm_sp=snippet-_-srp2-_-title4
The Dark Knight: Batman vs. the Cat Commander,9781434242143,"Bright, J.E.",New,Stone Arch Books,2013,Paperback,4-star,US$ 11.60,https://www.abebooks.com/servlet/BookDetailsPL?bi=31819689362&searchurl=pt%3Dbook%26ds%3D20%26sortby%3D17%26kn%3D9781434242143&cm_sp=snippet-_-srp2-_-title5
